d100	活动-行商
75	拒绝向一个饥饿的家庭收取一蒲式耳蔬菜的费用 Refusing to charge a hungry family for a bushel of Vegetables
76	修理他们最后一个备用轮子，希望它能撑住 Repairing their last spare Wheel and hoping it will hold
77	在致命蛇咬后更换他们的卫队长 Replacing their Guard Captain after a deadly Snake bite
78	在经历最后一次行程后退休，如果他们能在大鹏鸟袭击中幸存下来 Retiring after one last run, if they survive the Roc attack
79	从一场失败的交易中归来，受伤且狼狈不堪 Returning, wounded and bedraggled from a deal gone wrong
80	用原木搭建临时道路以穿越深泥地 Rigging up a makeshift road out of Logs to cross deep mud
81	四处游走，试图为变质的啤酒寻找买家 Roving far and wide, trying to find a buyer for stale Beer
82	与当地贵族密谋，向竞争对手的市场倾销货物 Scheming with a local Noble to flood a Rival's markets
83	寻找买家出售过剩物资，价格低廉 Seeking Buyers for their surplus supplies, selling for cheap
84	在九头蛇巢穴附近扎营，距离有点太近了 Setting up camp, a little too close to a Hydra's den
85	庄重地埋葬一具死去的变形怪 Solemnly burying a dead Doppelgänger
86	专为动物园提供异域动物和怪物的商人 Specializing in exotic Animals and Monsters for menageries
87	因近期巨魔袭击而囤积酸液进行投机 Speculating by stockpiling Acid after recent Troll attacks
88	向受狼人诅咒的城镇供应银制武器 Supplying a Weretiger tainted Town with Silver Weapons
89	通过向狗头人出售腐烂水果进行欺诈 Swindling some Kobolds by selling them spoiled Fruit
90	与尼安德特人交易金属工具以换取珍贵的贝壳 Trading Metal Implements to Neanderthals for valuable Shell
91	主要从事书籍、卷轴和秘密的交易 Trafficking mostly in Books, Scrolls, and Secrets
92	伪装成守卫押送一名政治犯 Transporting a Political Prisoner in disguise as a Guard
93	低估了狂战士对精美丝绸的需求 Underestimating the demand for Fine Silks among Berserkers
94	完全沉默，仅通过书写进行交易 Utterly silent, conducting business through writing only
95	在遭遇猛烈雷雨后偏离航线 Veering off course after a very severe Thunderstorm
96	拜访树妖林，试图讨回他们的领袖 Visiting a Dryad grove to try to bargain back their Leader
97	在与水妖精的迷惑遭遇后漫无目的地游荡 Wandering aimlessly after a befuddling encounter with Nixies
98	用精密的黄铜天平称量奇异的闪亮粉末 Weighing strange Sparkling Dust on sensitive Brass Scales
99	给家里写冗长的信件 Writing long-winded letters home
100	大声呼救，正遭受凶猛奇美拉的攻击 Yelling for help, under attack by a ferocious Chimera
