d100	活动-狮鹫
32	对周围手持干草叉的哥布林发出低吼 Growling at encircling Goblins, armed with pitchforks
33	鹰身女妖冠饰华丽，威严地巡视着猎物 Harpy Crested and regal as they survey for prey
34	发出嘶嘶声，间杂着啾啾鸣叫，因一只美味的獾逃脱了 Hissing, punctuated with chirps, as a tasty Badger escapes
35	在光滑闪亮的巨石上磨砺它们巨大的喙 Honing their huge beak on a sparkling, smoothed boulder
36	猎马行动：急促的马嘶声与尖啸交织 Horse-hunting: Frantic whinnies punctuated with screeches
37	为风暴巨人看守者猎捕大角羊 Hunting Bighorn Sheep for their Storm Giant keepers
38	向一只因领地纠纷而争执的鹰头马身有翼兽猛冲过去 Hurling towards a Hippogriff in a spat over territory
39	悠闲地环绕着游牧营地盘旋，而他们正在清理和准备猎物 Idly circling a Nomad camp as they clean and dress a kill
40	无视主人的命令，转而追逐马肉 Ignoring their master's commands in favor of Horseflesh
41	正在孵化一窝即将破壳的大斑纹蛋 Incubating a clutch of large mottled eggs, ready to hatch
42	欢快地啃咬并碾碎鹿骨 Joyfully crunching and cracking Deer bones
43	从悬崖边缘跃下，最后一刻展翅高飞 Jumping off a precipice, taking flight at the last minute
44	悲鸣着哀悼一位死去精灵的尸体 Keening mournfully over the body of a dead Elf
45	猛烈甩动尾巴驱赶牛虻 Lashing their tail furiously to swat at Gadflies
46	向一头咆哮的公牛猛扑过去 Launching themselves at a bellowing Ox
47	与一只蝎尾狮进行惊险刺激的空中生死搏斗 Locked in death-defying aerial battle with a Manticore
48	正在撕咬一辆翻倒的马车，车内传来阵阵尖叫声 Mauling an overturned wagon, as screams echo inside
49	当德鲁伊伸出空手时，好奇地发出喵喵声 Mewing inquisitively as a Druid offers an empty hand
50	正在轻微换羽，掉落的羽毛受到术士们的珍视 Molting slightly, shedding feathers prized by Warlocks
51	在一棵极其巨大的树顶筑巢 Nesting atop a positively enormous Tree
52	啃咬它们毛茸茸的皮毛，因天空跳蚤而瘙痒 Nibbling at their hairy hide, itching from Sky Fleas
53	一边从湖中饮水，一边点着它们鹰般的头颅 Nodding their aquiline head as they drink from a lake
54	亲昵地蹭着他们的游侠游牧伙伴 Nuzzling their Nomad Ranger companion affectionately
55	正精明地观察一位照料藤蔓的独眼巨人 Observing a vine-tending Cyclops shrewdly
56	占据一处废弃的熊穴 Occupying an abandoned Bear Den
57	喘息以调节体温，粉红色的舌头不断伸缩 Panting to thermoregulate, pink tongue flicking
58	威严地栖息在悬崖上，轮廓如纹章般鲜明 Perching majestically on a bluff, silhouetted like Heraldry
59	正在执行完美的桶滚动作，以躲避山丘巨人投掷的波拉索。 Performing a perfect barrel-roll to avoid a Hill Giants Bola
60	正在啄食一只灰熊的尸体 Picking at the carcass of a Grizzly Bear
61	突然俯冲以躲避一道闪电 Plummeting suddenly to avoid a bolt of Lightning
62	扑向自己的影子进行狩猎练习 Pouncing on their shadow for hunting practice
63	用爪子温柔地梳理着它们那羽毛般的鬃毛 Preening their plumed mane tenderly with their Talons
64	在森林边缘徘徊，警惕着失去开阔天空 Prowling along the edge of a Wood, wary of losing open sky
65	愉悦地发出呼噜声，因为他们的圣骑士在挠它们的背 Purring with pleasure as their Paladin scratches their back
66	正在追逐一群恐狼，企图抢夺猎物 Pursuing a pack of Dire Wolves, hoping to steal a kill
67	寻找配偶，在树上留下痕迹和抓痕 Questing for a Mate, leaving sign and scratches on trees
68	迅速扑向一只巨型老鼠，使其吱吱声戛然而止 Quickly springing onto a Giant Rat, silencing its squeaks
69	用利爪撕扯犀牛坚韧的皮肉 Raking their talons across the tough hide of a Rhinoceros
70	极度饥饿，因饥饿而变得胆大妄为 Ravenously hungry and emboldened by starvation
71	将食物反刍到喧闹幼崽的喙中 Regurgitating food into the beaks of cacophonous cubs
72	俯冲攻击撕裂食人魔的肩膀 Rending an Ogre's shoulder with a swooping attack
73	用锋利的喙从骡子身上撕下肉条 Ripping strips of meat from a Mule with their sharp beak
74	咆哮尖叫，发出令人毛骨悚然的恐怖声响 Roar-Shrieking, a blood-curdling and terrifying sound
75	在一株奇异的草药上热情地打滚 Rolling around enthusiastically on some sort of strange Herb
76	正在凶猛地攻击一群持矛的兽人 Savaging a Spear-wielding Band of Orcs
77	从回音崖上发出刺耳的尖啸声 Screaming their piercing call from an echoing bluff
78	抓住一个半身人，弯下腰调查蘑菇 Seizing a Halfling, bent over to investigate Mushrooms
79	在一棵树脂渗出的树人身上磨砺其锋利的弯爪 Sharpening wickedly curved talons on a sap weeping Treant
80	对卖家咆哮：一只狡猾的熊地精商人 Snapping at their Seller: A wily Bugbear Trader
81	在高空翱翔，俯瞰一群疾驰的斑马 Soaring high above a galloping herd of Zebra
82	疾跑以积累速度，准备跃入空中飞行 Sprinting to build up speed for a leap into flight
83	驱赶野马群，意图挑选最弱的一只下手 Stampeding wild Horses, looking to pick off the weakest
84	从地精马厩中偷走一匹小马驹 Stealing a Foal from Hobgoblin Stables
85	俯冲下来，直视一位勇敢的侏儒的眼睛 Stooping to stare a brave Gnome directly in the eyes
86	条纹状，如虎身配秃鹫之首 Striped, like a Tiger with a Vulture's head
87	以惊人力量击倒石巨人后使其昏迷 Stunning a Stone Giant after striking them with incredible force
88	正在吞咽大块肉，被一位游侠驯服 Swallowing chunks of meat, being tamed by a Ranger
89	俯冲与天马展开空战 Swooping in a dogfight with a Pegasus
90	有条不紊地挑选合适的羽毛进行拔除 Systematically selecting the appropriate feathers to pluck
91	正在撕扯教堂的石板瓦片，牧师泪流满面 Tearing the Slate Roof Tiles off a Church, Priest in tears
92	被拴在巫师塔旁，魔法束缚逐渐减弱 Tethered to a Wizard's Tower, ensorcellment wearing thin
93	折磨一只被风暴吹离航线的翼龙 Tormenting a Pterosaur, blown far off course by a storm
94	展开双翼，用喙涂抹麝香油 Unfurling their wings, using beak to spread musky oils
95	高傲地昂首阔步，偶尔发出冷漠的鸣叫 Vainly strutting, letting out the occasional aloof squawk
96	在树林低空飞行，激怒一只巨鹏 Vexing a Roc by flying low among the Trees
97	凶猛地撕扯着一头死牛的皮肉 Viciously gouging into the hide of a dead Bull
98	饥渴地注视着三位旅行的半人马 Watching a trio of travelling Centaurs hungrily
99	在愤怒的气元素漩涡中盘旋 Wheeling in the gyre of an angry Air Elemental
100	在空中击伤一只奇美拉 Wounding a Chimera on the wing
