d100	风味-魔法飞弹
31	拍打着疲惫的翅膀，一只臃肿的翡翠色苍蝇，长着锯齿状的喙 Flapping belabored wings, a bloated emerald Fly with a serrated proboscis
32	一阵雪花大小的孢子风暴，引发老巫婆手指般的真菌猛烈生长 Flurry of snowflake sized Spores cause crone-finger Fungus to violently sprout
33	飘动的深红蝙蝠在上空盘旋，滴落着有毒的泪水 Fluttering Crimson Bats circle above, weeping toxic tears
34	雾化形成的模糊手斧，旋转着飞向目标 Fog-formed and hazy Hatchet spinning end over end
35	预兆安魂曲轻柔响起，死亡的幻象在眼前闪现 Foreshadowed Requiem tinkles softly while visons of death flash before eyes
36	这魔法飞弹呈现为粗糙如纱布般的亚麻布条，散发着泥炭与悔恨的气息。 Gauze like strips of painfully coarse Linen, smelling of peat and remorse
37	散发着姜香的透明立方体以惊人的速度旋转 Ginger scented transparent Cubes spinning at an incredible rate
38	这魔法飞弹显现为四维空间中怒视的矢车菊蓝眼睛，对每个目标愤怒地眨一次眼。 Glaring cornflower blue Eye in 4 dimensions, furiously blinks once at each target
39	咆哮的光环，边缘锐利得不可思议 Growling Halos, rims honed impossibly keen
40	这魔法飞弹显现为闪耀着翠绿浮萍的汹涌池塘水流 Gushing torrents of brilliant green duckweed infused Pond Water
41	魔法飞弹显现为……拇指大小的呵斥小鬼，抓挠、撕咬并灼烧 Hectoring thumb sized Impsscratch, bite, and singe
42	螺旋扭曲的篝火烟雾灼烧并焦炙 Helical distortions of campfire Haze sear and scorch
43	嘶嘶作响的斑纹蝾螈看似无害，直到爪从趾间迸发而出 Hissing zebra-striped Newts seem harmless, until claws burst from digits
44	空荡的脚步声和煤烟般的足迹直指目标，最终以一拳重击作为终结 Hollow footfalls and sooty tracks toward the target are punctuated with a punch
45	冰霜鸟巢爆裂，喷溅出钴蓝色的火焰 Icy Bird Nests explode in spurts of cobalt colored fire
46	这枚魔法飞弹显现为第一支标枪的理想化复制品，在命中前保持虚无状态 Idealized Copy of the First Javelin, incorporeal until the moment of impact
47	幻象马蹄铁旋转，倾泻出熔炉般炽热的钉子 Illusory horseshoe rotates, dumping a torrent of forge-hot Nails
48	从一道蔚蓝光束中散发出不可思议的冰冷热浪 Impossibly cold heat emanates from a cerulean Beam
49	靛蓝色光柱，伴随着亮粉色火花四溅 Indigo Column sputtering with bright pink Sparks
50	锋喙伯劳的魔法飞弹在飞离前撕扯猎物，并将战利品储存起来 Keen beaked Shrikes slash and tear before flitting away to store their spoils
51	紫罗兰色蛋在飞行途中爆裂，洒下腐蚀性的黄绿色粘液 Lavender Egg erupts mid-flight, showering caustic chartreuse goop
52	如笨拙鸟儿般扑腾作响的书页：像疯狗一样撕咬的书本 Loudly flapping covers like a clumsy bird: Book bites like a Mad Dog
53	呈现出品红色柯比圆点，散发着臭氧和湿报纸的气味 Magenta colored Kirby Dots that smell of ozone and wet newsprint
54	这些魔法飞弹呈现为金属光泽的蜜蜂，快速环绕三圈后发起刺击。 Metallic burnished Bees, rapidly circle thrice before stinging
55	一颗苹果大小的流星短暂悬浮，随后迅速改变方向 Meteor the size of an Apple hovers briefly before rapidly changing directions
56	九只幽灵般的猫咪合为一体，发出凄厉的叫声并抓挠目标 Nine ghostly Felines form into a single Cat, yowling and raking the target
57	赭石色的新月形飞弹，约硬币大小，在空中旋转穿梭，修补着空气的裂痕 Ochre-colored Crescents, about coin-sized, whirl about, darning the air
58	空间中的八角形孔洞将物质转移回其原点 Octagonal hole in space transposes matter to its origin point
59	乳白色巨蛇大张着嘴，吐出粘稠的橙色胆汁 Opalescent Serpent yawns widely before vomiting sticky orange bile
60	光球俯冲而下，覆盖着柔软的白色羽毛，隐藏着锋利的牙齿 Orbs swooping, covered in downy white feathers conceal sharp teeth
61	魔法飞弹如梅子般砸落，果核碎裂成弹片四射。 Pelting Plums with piths that shatter into shrapnel
62	幻影扒手窃取目标灵魂的碎片 Phantasmal pickpocket pilfering slivers of target's Soul
63	这魔法飞弹表现为…：慵懒的小团块，布满杂乱毛发的簇簇突起 Phlegmatic little lumps, bristling with tufts of scraggly hair
64	迷你穿山甲，起初呈鳞片球状，展开后露出可怖的利爪 Pint-sized Pangolin, starts off as a scaly ball, unpacks fearsome claws
65	水银色的粘液从紧握的拳头中猛烈喷涌而出 Quicksilver colored slime violently gushes from clenched fists
66	彩虹油污般的沥青团块冒泡并喷出酸牛奶味的烟雾 Rainbow oil-slick Pitch globs bubble and belch sour-milk scented smoke
67	红宝石色的丝带盘旋而出，缠绕绞紧，仿佛要勒住目标。 Ruby colored Ribbons swirl forth, encircling to strangle and constrict
68	被一只由闪烁火焰组成的小狐狸撕咬 Savaged by a small Fox composed of flickering flame
69	这魔法飞弹呈现出灼热的灵液，如同燃烧的蜂蜜般覆盖目标。 Scalding Ichor that coats like burning honey
70	无数棕色短箭环绕后猛然刺下 Scores of brown Bodkins surround before plunging
71	灼热的符文在空中划出轨迹，烙印目标，散发出烤鹿肉的香气 Searing rune traced in the air brands target, smelling of roast venison
72	这魔法飞弹显现为十七条无可辩驳却自相矛盾的真理 Seventeen unassailable yet contradictory truths
73	尖锐的碎片在空中划过，伴随着图书管理员“嘘”声的轻响 Sharp shards sailing through the air with a Librarian shushing sound
74	闪亮的剪刀，剪断附着在目标上的模糊以太纱线 Shiny shears, snipping at fuzzy ethereal yarn attached to the target
75	炽热的银色沙粒喷流，闪烁着微光，散发着紫丁香的芬芳 Sizzling jet of scintillating silver sands, smelling of lilacs
76	参差不齐的锯齿刀片随着异界音乐摇摆 Snaggletooth sawblades wobble with otherworldly music
77	在空中螺旋穿梭，以断奏般的突刺，呈现出闪亮的黄铜尖刺形态 Spiraling through the air with staccato juts, a shiny Brass Spike shape
78	内部刺痛，目标呼出小股绿色火焰 Stabbing internal pangs, target exhaling small gouts of green flame
79	彩色玻璃碎片闪烁，伴随着悦耳的叮当声 Stained Glass shards coruscate with a pleasant tinkling
80	稳固一位幽灵般的弩手，以指响发射其精准的弩箭 Steadying a ghostly Arbalist, fires her accurate Quarrels at a finger snap
81	粘稠的盐雾弥漫，引发突如其来的割伤 Sticky Salt-filled smoke slathers spontaneous cuts
82	滚烫、香甜、如焦油般的茶浪汹涌而出 Still boiling, sweet smelling, tar-like Tea surges forth
83	突然的拼图般碎裂，穿越的空间和受影响的区域 Sudden jigsaw shattering of the traversed space and affected areas
84	尾部翘起；一只负色条纹的臭鼬幻灵喷溅而出 Tail raised; a Skunk Eidolon striped in negative sprays
85	荆棘缠绕的麻绳，接触时扭曲碎裂成令人发痒的锈屑 Tangles of thorned twine, twisting and crumbling to itchy rust on contact
86	黄褐色的光触须向目标飘去，盘绕并凝聚 Tendrils of fulvous Light flit towards the target, coiling and consolidating
87	这些魔法飞弹形如尖细的冰锥，内部闪烁着微光 Terribly tapered Icicles that glisten and glow from within
88	第三个痛苦的真名无声地从施法者唇间流出，目标却听得一清二楚 The third Secret Name for Pain leaves caster's lips soundlessly, target hears it
89	剧院面具飞射而出，在嘲笑声中喷吐火焰与寒霜 Theatre Masks fly forth and cough up fire and frost between jeers
90	三道迅捷的鞭打，来自燃烧着苍白火焰的荆棘枝条 Three quick thwacks from Thorny Branches aflame with pale fire
91	施法者的拇指像湿墨水在光滑纸张上一样，将目标涂抹和晕染开来。 Thumb of caster smudges & smears the target like wet ink on smooth paper
92	这枚魔法飞弹呈现为…紧紧卷曲的粉色球体展开带有锋利吸盘的触手 Tightly balled-up Pink Globe unfurls Tentacles with sharp suckers
93	微小头骨（鸦类、鼠类、蛇类）在轻声咯咯笑后脆生生地碎裂 Tiny Skulls (corvid, mouse, snake) brittlely crunch after cackling softly
94	扭曲的黑色斑块向上蔓延，覆盖目标，化为愤怒的蚁群 Undulating black Blot crawls upward, covering target with infuriated Ants
95	翠绿的藤蔓蜿蜒，末端是带刺且粘着树液的嘴 Verdant Vines sinuate, terminating in thorny, sap-sticky mouths
96	施法者手掌上的狰狞裂痕出现在目标身上 Vicious gash on caster's palm appears on target
97	目标蜡像突然出现并迅速融化 Waxen replica of target appears and melts suddenly
98	魔法飞弹化作一阵木质的球果旋风，碎裂成一场尖锐种子的骤雨。 Whirlwind of woody Strobili, splintering in a shower of sharp Seeds
99	每个手指弹出的口哨般的绿松石色圆环，形成一个圆柱体 Whistling turquoise Rings flung from each finger to form a cylinder
100	这些魔法飞弹化作带翼的水蛭，在空中扭动翻腾。 Winged Leeches writhe and wriggle through the air
