d100	活动-狂信僧
67	受幻象派遣，前往一座危险的地牢进行圣化仪式 Sent by visions to consecrate a dangerous dungeon
68	调解两位顶尖战士之间的教义争端 Settling a doctrinal dispute between their two best warriors
69	因近期的不祥之兆和厄运而感到心神不宁 Shaken by recent ill-omens and bad fortune
70	将一块雕刻精美的巨石移上雪橇 Shifting an intricately engraved boulder onto a sledge
71	与一位强大的教皇签署和平条约 Signing a peace treaty with a powerful Pontiff
72	吟唱着轻柔的圣歌与虔诚的祈祷 Singing soft psalms and pious prayers
73	庄重地埋葬一位信仰的冠军 Solemnly burying a Champion of the Faith
74	驱策坐骑追赶一名逃犯 Spurring on their steeds after an escaped prisoner
75	惊讶地发现储存的食物/补给已变质 Startled to discover spoiled food stores/supplies
76	突然停下，一匹战马似乎受伤了 Stopped suddenly, a Warhorse appears to be injured
77	仅靠牧师创造的食物维生 Subsisting solely on Cleric created Food
78	在异教徒德鲁伊手中遭遇惨痛失败 Suffering bitter defeat at the hands of heathen Druids
79	对精灵盟友心存疑虑，正与兽人并肩作战 Suspicious of Elf allies, fighting Orcs at their side
80	随着狂喜的音乐节奏摇摆 Swaying rhythmically to ecstatic music
81	宣誓誓死保卫山顶要塞 Swearing oaths to defend a crucial hilltop fort
82	挥舞香炉，喷出令人目眩的烟雾 Swinging censers that billow blinding smoke
83	正在拆除他们营地中色彩斑斓的帐篷 Taking down the colorful tents of their camp
84	无一不是才华横溢的音乐家 Talented musicians, to a one
85	带领他们的牧师是一位改过自新的美杜莎 The Cleric that leads them is a reformed Medusa
86	他们的流动营地由友好的巨鹰协助运输。 Their mobile camp is transported with the help of friendly Rocs
87	追踪一位持有危险偶像崇拜思想的著名异端分子 Tracking an infamous heretic with dangerous, idolatrous ideas
88	护送一盏秘银灯笼中永不熄灭的圣火 Transporting a sacred, undying flame in a mithril lantern
89	前往被隔离的村庄治愈瘟疫 Travelling to a quarantined village to Cure plague
90	展开精心编织的地毯 Unfurling elaborately woven carpets
91	无意间传播着一种毁灭性新疾病的携带者 Unknowing carriers of a devastating new disease
92	拔出武器进行检查 Unsheathing arms for inspection
93	使用魔法与一棵说话缓慢的橡树交谈 Using magic to converse with a slow speaking Oak Tree
94	对每一节链甲环链进行祈祷 Uttering prayers over every link of a suit of chain
95	激烈地辩论宗教解释 Vigorously debating a religious interpretation
96	正与宣扬和平主义的信仰展开争斗 Warring against a faith that preaches pacifism
97	在古老的骡子驱动水井旁为他们的马匹饮水 Watering their horses at an ancient mule-powered well
98	受到当地半身人社群的欢迎，因为他们交易的香料 Welcomed by a local Halfling community for the spices they trade
99	优雅地旋转，手持武器进行仪式性舞蹈 Whirling gracefully with weapons drawn in a ceremonial dance
100	挥舞着由优质钢材打造的波浪形剑刃 Wielding wavy swords of superior steel
