d100	活动-狂战士
80	向树顶上的熊头骨致敬 Saluting a Bear skull atop a tree
81	正试图从一条龙手中夺回祖传的宝藏 Seeking to reclaim an ancestral hoard from a Dragon
82	羞怯地敲掉盾牌上的牙印 Sheepishly hammering teeth marks from shields
83	将灰熊脂肪涂抹在头发、胡须和身体上 Slathering Grizzly Bear fat on hair, beards, and bodies
84	彻底击败一支NPC冒险队伍 Soundly besting an NPC Adventuring Party
85	投掷长矛比赛 Spear throwing contest
86	将麋鹿驱赶下悬崖 Stampeding Elk off a cliff
87	正在串起纪念杀戮的珠子 Stringing beads that commemorate kills
88	对魔法展示迷信般地恐惧 Superstitiously terrified of displays of magic
89	轮流吸食一种刺鼻的黄色粉末 Taking turns snorting an acrid yellow powder
90	温柔地照料世界树的一根插条 Tenderly caring for a cutting from the World Tree
91	通过嘲弄食尸鬼来测试他们的胆量 Testing their mettle by taunting a Ghoul
92	他们的年长女族长是最强大的战士 Their elderly matriarch is the most potent fighter
93	追踪一群野猪家族 Tracking a family of wild boars
94	交易训练有素的巨鹰，嫉妒地守护着它们的蛋 Trade in trained Rocs, jealously guard eggs
95	运送一具木乃伊前往祖传的墓地 Transporting a Mummy to an ancestral burial ground
96	将矮人视为神圣存在 Treat Dwarfs as divine beings
97	头戴狼皮帽饰 Wearing Wolf-pelt headgear
98	言辞得体且文明，直至被激怒 Well-spoken and civilized until angered
99	"当狂暴时，双眼“闪烁”出凶险的黑色光芒 When enraged, eyes ""glow"" a baleful black"
100	崇拜一位诡异的蜘蛛神祇 Worshiping a weird Spider God
